latitude,longitude,date,died,injured,weather,day_part,accident_type
41.3554,69.224,2020-04-01 18:30:00,0,1,,kunduz,piyodani urib yuborish
41.2162,69.2373,2020-04-02 20:30:00,0,1,,kech,to'qnashuv
41.3632,69.2227,2020-04-02 10:30:00,0,1,,tong,piyodani urib yuborish
41.3369,69.2605,2020-04-02 23:40:00,0,1,,kech,piyodani urib yuborish
41.35,69.2639,2020-04-03 07:00:00,0,1,,tong,piyodani urib yuborish
41.3495,69.2274,2020-04-03 12:40:00,0,1,,tong,to'qnashuv
41.3626,69.226,2020-04-03 13:00:00,0,1,,kunduz,turgan TVga urilish
41.3276,69.2272,2020-04-04 23:10:00,0,1,,kech,piyodani urib yuborish
41.36,69.1731,2020-04-04 18:00:00,0,1,,kunduz,to'qnashuv
41.2617,69.2542,2020-04-05 18:45:00,0,1,,kunduz,piyodani urib yuborish
41.2385,69.1924,2020-04-05 20:05:00,0,1,,kech,piyodani urib yuborish
41.3222,69.21,2020-04-05 19:45:00,1,2,,kech,to'qnashuv
41.3551,69.2746,2020-04-06 01:00:00,0,1,,tun,to'siqqa urilish
41.2819,69.1643,2020-04-06 13:00:00,0,1,,kunduz,piyodani urib yuborish
41.3656,69.3141,2020-04-06 12:00:00,0,1,,tong,to'qnashuv
41.3507,69.3521,2020-04-06 13:05:00,0,1,,kunduz,to'qnashuv
41.2988,69.2789,2020-04-06 10:40:00,0,1,,tong,piyodani urib yuborish
41.2762,69.3712,2020-04-07 22:35:00,0,1,,kech,to'siqqa urilish
41.3212,69.2547,2020-04-09 23:40:00,0,2,,kech,to'qnashuv
41.3598,69.2785,2020-04-10 16:05:00,0,1,,kunduz,piyodani urib yuborish
41.2883,69.1882,2020-04-12 10:30:00,0,1,,tong,to'qnashuv
41.2919,69.2236,2020-04-12 17:30:00,0,1,,kunduz,to'qnashuv
41.2766,69.2061,2020-04-12 18:35:00,0,1,,kunduz,to'siqqa urilish
41.3383,69.1644,2020-04-13 18:15:00,0,2,,kunduz,to'qnashuv
41.3396,69.3352,2020-04-13 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.338,69.2241,2020-04-14 13:45:00,0,5,,kunduz,to'qnashuv
41.3327,69.2008,2020-04-15 00:23:00,1,0,,,to'siqqa urilish
41.3418,69.3427,2020-04-20 06:00:00,0,1,,tun,to'qnashuv
41.322,69.2755,2020-04-20 14:30:00,0,1,,kunduz,piyodani urib yuborish
41.2504,69.3237,2020-04-20 08:00:00,0,1,,tong,to'qnashuv
41.2293,69.2038,2020-04-20 11:00:00,0,1,,tong,to'qnashuv
41.3538,69.2677,2020-04-21 08:00:00,0,17,,tong,to'siqqa urilish
41.3512,69.2879,2020-04-21 15:00:00,0,1,,kunduz,to'qnashuv
41.2889,69.3533,2020-04-21 08:20:00,0,1,,tong,piyodani urib yuborish
41.2673,69.3145,2020-04-21 20:20:00,0,1,,kech,piyodani urib yuborish
41.2866,69.3415,2020-04-21 15:30:00,0,1,,kunduz,piyodani urib yuborish
41.2623,69.317,2020-04-21 21:30:00,0,1,,kech,piyodani urib yuborish
41.2615,69.2545,2020-04-26 18:45:00,0,1,,kunduz,piyodani urib yuborish
41.2748,69.2417,2020-04-26 10:00:00,0,1,,tong,to'siqqa urilish
41.3074,69.2696,2020-04-26 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.2654,69.3557,2020-04-26 12:00:00,0,1,,tong,piyodani urib yuborish
41.3059,69.3395,2020-04-26 06:20:00,0,1,,tun,to'qnashuv
41.2997,69.3476,2020-04-26 11:17:00,1,0,,tong,piyodani urib yuborish
41.2977,69.3375,2020-04-26 17:05:00,0,1,,kunduz,piyodani urib yuborish
41.2445,69.2552,2020-04-27 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.277,69.3615,2020-04-27 12:30:00,0,1,,tong,piyodani urib yuborish
41.2375,69.3289,2020-04-27 08:40:00,0,1,,tong,piyodani urib yuborish
